Débit	PM	CO	CH4	
0,00	0,020	-0,0026	-0,0029	
0,00	0,026	-0,0026	-0,0029	
0,00	0,028	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,028	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,030	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,01	0,016	-0,0026	-0,0029	
0,01	0,016	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,014	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,01	0,020	-0,0026	-0,0029	
0,01	0,020	-0,0026	-0,0029	
0,01	0,020	-0,0026	-0,0029	
0,01	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,013	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,022	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,013	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,013	-0,0026	-0,0028	
0,00	0,013	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,013	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,016	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,020	-0,0026	-0,0028	
0,00	0,022	-0,0026	-0,0029	
0,00	0,018	-0,0026	-0,0029	
0,00	0,016	-0,0026	-0,0029	
0,00	0,020	-0,0026	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
-0,01	0,020	-0,0027	-0,0029	
-0,01	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,01	0,016	-0,0027	-0,0029	
0,01	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
-0,01	0,020	-0,0027	-0,0029	
-0,01	0,016	-0,0027	-0,0029	
-0,01	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
-0,01	0,016	-0,0027	-0,0029	
-0,01	0,026	-0,0027	-0,0028	
-0,01	0,016	-0,0027	-0,0028	
0,00	0,028	-0,0027	-0,0028	
0,00	0,005	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0027	
0,00	0,013	-0,0027	-0,0027	
0,00	0,026	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,01	0,022	-0,0027	-0,0027	
0,01	0,016	-0,0027	-0,0027	
0,01	0,020	-0,0027	-0,0027	
0,01	0,013	-0,0027	-0,0027	
0,01	0,026	-0,0027	-0,0027	
0,01	0,016	-0,0027	-0,0027	
0,00	0,022	-0,0027	-0,0027	
0,00	0,022	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,00	0,022	-0,0027	-0,0027	
0,00	0,018	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,00	0,014	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,013	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0027	
0,00	0,026	-0,0027	-0,0027	
0,00	0,020	-0,0027	-0,0027	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,014	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,014	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,014	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,014	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,014	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,028	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,014	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,028	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,028	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,009	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,026	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,028	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,014	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0028	
0,00	0,020	-0,0027	-0,0028	
0,00	0,022	-0,0027	-0,0028	
0,00	0,018	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,018	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,028	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,009	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,022	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,026	-0,0027	-0,0029	
0,00	0,013	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0029	
0,00	0,016	-0,0027	-0,0029	
0,00	0,020	-0,0027	-0,0028	
0,00	0,016	-0,0027	-0,0028	
0,00	0,013	-0,0027	-0,0028	
0,00	0,001	-0,0027	-0,0028	
0,00	-0,020	-0,0027	-0,0028	
0,00	-0,037	-0,0027	-0,0028	
0,00	-0,037	-0,0027	-0,0028	
0,00	-0,039	-0,0027	-0,0028	
0,00	-0,050	-0,0027	-0,0028	
0,00	-0,054	-0,0027	-0,0028	
0,00	-0,056	-0,0027	-0,0028	
0,00	-0,054	-0,0027	-0,0028	
0,00	-0,058	-0,0027	-0,0028	
0,00	-0,058	-0,0027	-0,0028	
0,00	-0,058	-0,0027	-0,0028	
0,00	-0,056	-0,0027	-0,0028	
0,00	-0,056	-0,0027	-0,0027	
0,00	-0,066	-0,0027	-0,0027	
0,00	-0,054	-0,0027	-0,0027	
0,00	-0,054	-0,0027	-0,0027	
0,00	-0,058	-0,0027	-0,0027	
0,00	-0,050	-0,0027	-0,0027	
0,00	-0,054	-0,0027	-0,0027	
0,00	-0,054	-0,0027	-0,0027	
0,00	-0,056	-0,0027	-0,0027	
0,00	-0,045	-0,0027	-0,0027	
0,00	-0,054	-0,0027	-0,0027	
0,00	-0,058	-0,0027	-0,0027	
