0.053,-0.4,0.059,1.294
0.053,-0.36666666666666664,0.055,1.309
0.053,-0.36666666666666664,0.055,1.325
0.053,-0.4,0.059,1.341
0.053,-0.38333333333333336,0.057,1.356
0.053,-0.4,0.06,1.372
0.053,-0.38333333333333336,0.057,1.387
0.053,-0.4166666666666667,0.063,1.403
0.068,-0.35,0.053,1.419
0.053,-0.3333333333333333,0.049,1.434
0.053,-0.36666666666666664,0.054,1.449
0.053,-0.36666666666666664,0.055,1.465
0.053,-0.35,0.053,1.481
0.053,-0.35,0.052,1.497
0.053,-0.36666666666666664,0.055,1.512
0.053,-0.36666666666666664,0.054,1.527
0.053,-0.38333333333333336,0.058,1.544
0.053,-0.3333333333333333,0.05,1.559
0.053,-0.35,0.053,1.574
0.053,-0.36666666666666664,0.054,1.59
0.053,-0.31666666666666665,0.048,1.606
0.053,-0.3333333333333333,0.049,1.622
0.053,-0.3333333333333333,0.049,1.637
0.053,-0.2833333333333333,0.043,1.652
0.037,-0.3,0.044,1.669
0.053,-0.2833333333333333,0.043,1.684
0.037,-0.26666666666666666,0.04,1.699
0.037,-0.2833333333333333,0.041,1.715
0.037,-0.25,0.036,1.73
0.037,-0.25,0.037,1.746
0.037,-0.26666666666666666,0.038,1.762
0.037,-0.26666666666666666,0.038,1.777
0.037,-0.25,0.037,1.793
0.037,-0.2,0.029,1.809
0.037,-0.26666666666666666,0.038,1.824
0.037,-0.23333333333333334,0.033,1.84
0.037,-0.23333333333333334,0.034,1.855
0.037,-0.26666666666666666,0.038,1.871
0.037,-0.26666666666666666,0.038,1.887
0.037,-0.25,0.037,1.902
0.037,-0.25,0.036,1.917
0.037,-0.25,0.037,1.933
0.037,-0.26666666666666666,0.04,1.949
0.037,-0.26666666666666666,0.04,1.965
0.053,-0.2833333333333333,0.041,1.98
0.037,-0.25,0.037,1.995
0.037,-0.26666666666666666,0.04,2.012
0.037,-0.21666666666666667,0.032,2.027
0.037,-0.23333333333333334,0.034,2.042
0.037,-0.21666666666666667,0.032,2.058
0.037,-0.21666666666666667,0.032,2.074
0.037,-0.23333333333333334,0.035,2.089
0.037,-0.23333333333333334,0.034,2.105
0.037,-0.21666666666666667,0.032,2.12
0.037,-0.21666666666666667,0.031,2.137
0.037,-0.2,0.03,2.152
0.037,-0.23333333333333334,0.034,2.167
0.037,-0.2,0.03,2.183
0.037,-0.23333333333333334,0.033,2.198
0.037,-0.23333333333333334,0.035,2.214
0.037,-0.25,0.036,2.23
0.037,-0.25,0.036,2.245
0.037,-0.21666666666666667,0.032,2.26
0.037,-0.23333333333333334,0.033,2.277
0.037,-0.23333333333333334,0.034,2.292
0.037,-0.23333333333333334,0.034,2.308
0.037,-0.25,0.037,2.323
0.037,-0.2,0.03,2.339
0.037,-0.23333333333333334,0.033,2.355
0.037,-0.2,0.03,2.37
0.037,-0.2,0.03,2.385
0.022,-0.2,0.028,2.402
0.037,-0.18333333333333332,0.026,2.417
0.022,-0.16666666666666666,0.024,2.433
0.022,-0.18333333333333332,0.026,2.448
0.037,-0.16666666666666666,0.025,2.463
0.022,-0.18333333333333332,0.026,2.48
0.022,-0.18333333333333332,0.026,2.495
0.037,-0.2,0.029,2.51
0.022,-0.18333333333333332,0.027,2.526
0.037,-0.2,0.028,2.542
0.037,-0.2,0.029,2.557
0.037,-0.21666666666666667,0.032,2.573
0.037,-0.2,0.03,2.588
0.037,-0.2,0.03,2.605
0.037,-0.18333333333333332,0.027,2.62
0.037,-0.18333333333333332,0.027,2.635
0.022,-0.15,0.022,2.651
0.022,-0.15,0.021,2.665
0.022,-0.15,0.021,2.68
0.022,-0.13333333333333333,0.018,2.695
0.022,-0.08333333333333333,0.012,2.709
0.007,-0.05,0.007,2.723
0.007,-0.03333333333333333,0.004,2.737
0.007,-0.03333333333333333,0.004,2.749
0.007,-0.016666666666666666,0.002,2.761
0.007,-0.016666666666666666,0.002,2.774
0.007,0.0,0.001,2.786
0.007,0.0,0.001,2.797
0.007,0.0,0.001,2.809
-0.007,0.0,0.0,2.821
-0.007,0.0,0.0,2.833
0.007,0.016666666666666666,-0.002,2.845
-0.007,0.05,-0.006,2.857
-0.007,0.1,-0.014,2.872
-0.022,0.13333333333333333,-0.02,2.886
-0.037,0.18333333333333332,-0.026,2.902
-0.037,0.23333333333333334,-0.033,2.918
-0.037,0.25,-0.037,2.935
-0.037,0.2833333333333333,-0.041,2.952
-0.053,0.2833333333333333,-0.042,2.968
-0.053,0.31666666666666665,-0.046,2.984
-0.053,0.2833333333333333,-0.041,3.002
-0.053,0.31666666666666665,-0.047,3.018
-0.053,0.31666666666666665,-0.047,3.035
-0.053,0.31666666666666665,-0.047,3.051
-0.053,0.31666666666666665,-0.047,3.068
-0.053,0.3333333333333333,-0.049,3.085
-0.053,0.31666666666666665,-0.048,3.101
-0.053,0.31666666666666665,-0.047,3.118
-0.068,0.3333333333333333,-0.05,3.135
-0.053,0.31666666666666665,-0.048,3.151
-0.068,0.36666666666666664,-0.055,3.168
-0.053,0.35,-0.051,3.184
-0.068,0.38333333333333336,-0.057,3.202
-0.053,0.35,-0.052,3.218
-0.068,0.35,-0.053,3.234
-0.068,0.35,-0.052,3.251
-0.068,0.36666666666666664,-0.055,3.268
-0.068,0.36666666666666664,-0.054,3.284
-0.068,0.4,-0.06,3.301
-0.068,0.4166666666666667,-0.062,3.317
-0.083,0.45,-0.069,3.335
-0.083,0.43333333333333335,-0.067,3.351
-0.083,0.43333333333333335,-0.066,3.367
-0.083,0.43333333333333335,-0.066,3.384
